Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,嗨!  你是新學生嗎?|這堂課在8點開始.,Amanda.jpg
0,0,0,SidneyInBondage,嗨!  我不敢相信你把Sidney綁了起來.|她看起來這樣很可愛.,Amanda.jpg
10,0,0,,你好，再次歡迎你.,Amanda.jpg
20,0,0,,有什麼事嗎?,Amanda.jpg
30,0,0,,還有什麼是你想知道的嗎|或是我們專心在今天的課程?,Amanda.jpg
40,0,0,,(她害怕的|看向黑髮女孩.),Amanda.jpg
50,0,0,,"我們下課再說好嗎?",Amanda.jpg
50,2,0,,我很樂意聊天，但我需要整理筆記|我們下課後再見吧.,Amanda.jpg
50,-2,0,,我真的沒有時間聊天.,Amanda.jpg
50,0,0,SidneyInBondage,(她 傻笑著.)  Sidney 這樣很可愛.|但你應該在上課前放開她.,Amanda.jpg
200,0,0,,妳為什麼會有繩子?,Amanda.jpg
220,0,0,,請小心對待我的衣服.|(她看起來很羞辱.),AmandaStrip.jpg
230,0,0,,我的天啊!  就快要上課了.|(她拼命地拉扯著繩子，但卻徒勞無功地想要脫身),AmandaBondageFront.jpg
240,0,0,,,AmandaBondageBack.jpg
250,0,0,,,AmandaBondageHug.jpg
260,0,0,,,AmandaBondageKiss.jpg
300,0,0,,謝謝你替我鬆綁. (她 微笑著.),Amanda.jpg
300,0,0,SidneyInBondage,謝謝你替我鬆綁然後Sidney 這樣很可愛.|但你應該在上課前放開她.,Amanda.jpg
